id,spkid,full_name,pdes,name,prefix,neo,pha,H,G,M1,M2,K1,K2,PC,diameter,extent,albedo,rot_per,GM,BV,UB,IR,spec_B,spec_T,H_sigma,diameter_sigma,orbit_id,epoch,epoch_mjd,epoch_cal,equinox,e,a,q,i,om,w,ma,ad,n,tp,tp_cal,per,per_y,moid,moid_ld,moid_jup,t_jup,sigma_e,sigma_a,sigma_q,sigma_i,sigma_om,sigma_w,sigma_ma,sigma_ad,sigma_n,sigma_tp,sigma_per,class,producer,data_arc,first_obs,last_obs,n_obs_used,n_del_obs_used,n_dop_obs_used,condition_code,rms,two_body,A1,A2,A3,DT
a0000001,2000001,"     1 Ceres",1,Ceres,,N,N,3.34,0.12,,,,,,939.4,"964.4 x 964.2 x 891.8",0.090,9.074170,62.6284,.713,.426,,C,G,,0.2,34,2458600.5,58600,20190427.0000000,J2000,.07600902762923671,2.769165146349478,2.558683596230681,10.59406732590292,80.30553084093981,73.59769486239257,77.37209773768207,2.979646696468275,.2138852268564227,2458238.754128745317,20180430.2541287,1683.145700575484,4.6082017811786,1.59478,620.6405326,2.09753,3.309,1.172E-11,2.5823E-11,5.6278E-11,1.9267E-9,1.1722E-8,1.1463E-8,3.8719E-9,2.7786E-11,2.9918E-12,1.327E-8,2.3543E-8,MBA,"Davide Farnocchia",24437,1950-04-09,2017-03-05,5993,405,0,0,.36954,,,,,
a0000002,2000002,"     2 Pallas",2,Pallas,,N,N,4.13,0.11,,,,,,545,582x556x500,0.101,7.8132,14.3,.635,.284,,B,B,,18,34,2458600.5,58600,20190427.0000000,J2000,.2303368122519394,2.772465922815752,2.13386496007724,34.83623460557907,173.0800618276949,310.0488584525203,59.69913098405375,3.411066885554264,.2135033769950547,2458320.883200377029,20180721.3832004,1686.155999342055,4.61644353002616,1.23324,479.9400108,1.85493,3.043,3.3707E-8,4.1378E-9,9.3154E-8,3.7128E-6,6.4634E-6,9.5186E-6,9.1517E-6,5.0909E-9,4.7797E-10,4.2568E-5,3.7748E-6,MBA,"Otto Matic",71865,1821-05-09,2018-02-10,8441,,,0,.35911,,,,,
a0000003,2000003,"     3 Juno",3,Juno,,N,N,5.33,0.32,,,,,,246.596,,0.214,7.210,,.824,.433,,Sk,S,,10.594,107,2458600.5,58600,20190427.0000000,J2000,.2569423149737984,2.669149515649107,1.983332060087033,12.98891943923851,169.8527548037533,248.1386297217077,34.92501898650092,3.354966971211181,.2260188812382131,2458445.977427393813,20181123.4774274,1592.787284087904,4.36081391947407,1.03454,402.6119318,2.18657,3.298,3.2676E-8,3.7685E-9,8.7261E-8,3.5292E-6,1.7902E-5,1.9082E-5,8.6339E-6,4.7367E-9,4.7866E-10,3.8028E-5,3.3732E-6,MBA,"Otto Matic",72161,1820-05-02,2017-11-26,7010,,,0,.31378,,,,,
a0000004,2000004,"     4 Vesta",4,Vesta,,N,N,3.20,0.32,,,,,,525.4,"572.6 x 557.2 x 446.4",0.4228,5.34212766,17.8,.782,.492,,V,V,,0.2,34,2458600.5,58600,20190427.0000000,J2000,.08872145950956178,2.361417895877277,2.151909453643047,7.141770811873426,103.810804427096,150.7285412870121,95.86193620017683,2.570926338111508,.2716094015313151,2458247.559580192314,20180509.0595802,1325.432764736216,3.62883713822373,1.13948,443.4514316,2.46988,3.535,2.3717E-10,1.5403E-9,1.9617E-9,2.2072E-7,3.9411E-7,1.805E-7,1.2275E-6,1.6769E-9,2.6574E-10,4.1741E-6,1.2968E-6,MBA,"Davide Farnocchia",24288,1950-09-23,2017-03-23,9325,2977,0,0,.39592,,,,,
a0000005,2000005,"     5 Astraea",5,Astraea,,N,N,6.85,,,,,,,106.699,,0.274,16.806,,.826,.411,,S,S,,3.140,107,2458600.5,58600,20190427.0000000,J2000,.191094522814835,2.574248918285955,2.082324049639495,5.366988177936237,141.5765957220505,358.6876128146665,282.3662912620402,3.066173786932414,.2386317716345598,2458925.828468234515,20200317.3284682,1508.60045807858,4.13032295161829,1.09589,426.4875113,1.9604,3.396,2.4345E-8,4.5689E-9,6.2247E-8,2.8131E-6,2.973E-5,3.066E-5,9.054E-6,5.4419E-9,6.353E-10,3.8278E-5,4.0163E-6,MBA,"Otto Matic",63097,1845-12-15,2018-09-16,2695,,,0,.49752,,,,,
a0000006,2000006,"     6 Hebe",6,Hebe,,N,N,5.71,0.24,,,,,,185.18,,0.2679,7.2745,,.822,.399,,S,S,,2.9,85,2458600.5,58600,20190427.0000000,J2000,.2030071057382805,2.425159990868159,1.932835280169739,14.73790068157333,138.6402040860603,239.8074896057582,86.19792168692148,2.917484701566579,.2609717402740113,2458270.204000914365,20180531.7040009,1379.459705568168,3.77675484070683,.973965,379.03795905,2.6358,3.439,2.0567E-8,3.0397E-9,5.0172E-8,2.2906E-6,1.1797E-5,1.3726E-5,7.752E-6,3.6568E-9,4.9065E-10,2.9502E-5,2.5935E-6,MBA,"Otto Matic",61770,1848-09-05,2017-10-19,5986,,,0,.39825,,,,,
a0000007,2000007,"     7 Iris",7,Iris,,N,N,5.51,,,,,,,199.83,,0.2766,7.139,,.855,.484,,S,S,,10.0,108,2458600.5,58600,20190427.0000000,J2000,.2312057882091302,2.38533381395173,1.833830829355129,5.523651438133126,259.5632326380281,145.265103459468,140.4196553603943,2.93683679854833,.2675348279194212,2458075.635045211058,20171118.1350452,1345.619195824584,3.6841045744684,.8461,329.276737,2.47021,3.493,2.0047E-8,2.1478E-9,4.7778E-8,2.613E-6,2.6599E-5,2.7269E-5,7.0694E-6,2.6444E-9,3.6134E-10,2.5964E-5,1.8174E-6,MBA,"Otto Matic",61942,1848-08-23,2018-03-27,5110,1,0,0,.36591,,,,,
a0000008,2000008,"     8 Flora",8,Flora,,N,N,6.49,0.28,,,,,,147.491,,0.226,12.865,,.885,.489,,,S,,1.025,116,2458600.5,58600,20190427.0000000,J2000,.1564992504040566,2.201764189273737,1.857189744085902,5.886954138633143,110.8893299358875,285.2874607293782,194.8828965630362,2.546338634461572,.3016809368995437,2459147.823623209066,20201025.3236232,1193.313716470842,3.26711489793523,.874176,340.20307392,2.86902,3.641,2.4473E-8,2.3907E-9,5.356E-8,3.3461E-6,2.5032E-5,2.7387E-5,1.2334E-5,2.7649E-9,4.9135E-10,4.1361E-5,1.9436E-6,MBA,"Otto Matic",62300,1847-10-27,2018-05-23,2670,,,0,.5264,,,,,
a0000009,2000009,"     9 Metis",9,Metis,,N,N,6.28,0.17,,,,,,190,,0.118,5.079,,.858,.496,,,S,,,113,2458600.5,58600,20190427.0000000,J2000,.1231142653696762,2.385636532946946,2.091930643754122,5.576815381196452,68.90858238730618,6.417370185027647,276.8616187640486,2.67934242213977,.2674839073554952,2458911.316385396441,20200302.8163854,1345.875359602654,3.68480591266983,1.10691,430.7761647,2.55446,3.519,1.8665E-8,3.5001E-9,4.4744E-8,2.0461E-6,2.4973E-5,2.6887E-5,1.0712E-5,3.931E-9,5.8866E-10,4.0274E-5,2.9619E-6,MBA,"Otto Matic",61768,1849-07-31,2018-09-11,2632,,,0,.42172,,,,,
a0000010,2000010,"    10 Hygiea",10,Hygiea,,N,N,5.43,,,,,,,407.12,,0.0717,27.630,7.,.696,.351,,C,C,,6.8,90,2458600.5,58600,20190427.0000000,J2000,.1124606578329963,3.141539178476305,2.788239615856729,3.831560260844386,283.2021663567859,312.315207696501,152.1848508422612,3.494838741095881,.1770069641572149,2457740.732410815809,20161218.2324108,2033.818283444788,5.56829098821297,1.77839,692.0960363,1.53558,3.197,1.6377E-8,6.9628E-9,5.1029E-8,2.1883E-6,2.8718E-5,3.0405E-5,1.1128E-5,7.7459E-9,5.8847E-10,6.1608E-5,6.7616E-6,MBA,"Otto Matic",61872,1849-05-26,2018-10-19,3341,,,0,.53109,,,,,
